metric,ASL,VSL
acceleration_std,7.519969853562936,9.122484334877708
direction_change_count,40.79002756201453,67.25063116823502
displacement,0.7730770051755244,0.41549220056363245
hand_body_dist_mean,2.2121815397521716,2.4880075918599127
hand_body_dist_std,0.4890700508769109,1.092716681562659
hand_face_dist_mean,2.3995940248856162,2.8817623896154956
hand_face_dist_std,0.35852716433343756,0.6726615305201092
hand_frame_missing_ratio,0.3962996669545862,0.3225809785317092
hand_point_missing_ratio,0.3962996669545862,0.3225809785317092
left_right_hand_dist_mean,1.452657108307008,1.973123819455737
left_right_hand_dist_std,0.30634531255865804,0.8010892151042367
max_acceleration,23.86026494306065,36.70007026384313
max_motion,0.9996113946058934,1.6241283405325078
max_velocity,28.26567843436916,48.36808191342777
mean_acceleration,5.377386816248728,5.6924896353288394
mean_motion,0.22573331786325831,0.3254115904900464
mean_velocity,6.403772621411364,9.687352444353719
motion_variance,0.0563347685980271,0.12223770956021511
num_frames,65.64799666110184,92.48051352590555
straightness_ratio,0.13693136019992383,0.03870193942510563
total_motion,12.067893587405012,25.014237430867485
trajectory_bbox_area,0.33548306118797333,0.8229001651004942
trajectory_length,12.067893587459391,25.014237431423233
velocity_std,5.939063342156695,9.348563381504619
