dataset,label,num_samples,num_pairs,intra_class_dtw_mean,intra_class_dtw_std,intra_class_dtw_min,intra_class_dtw_max,intra_class_dtw_median
ASL,n,4,6,1.3914821619788806,1.066524731953519,0.21410320699214935,2.5147719383239746,1.3853829205036163
ASL,m,4,6,1.111724575360616,0.6193212758518137,0.36989447474479675,1.8511377573013306,1.1700055003166199
ASL,minus,4,6,0.9573464045921961,0.7409544812054938,0.16190269589424133,1.7156001329421997,0.9613871276378632
ASL,mosquito,4,6,0.9266148085395495,0.7448436671317913,0.17205114662647247,1.7193760871887207,0.9055845513939857
ASL,mine,4,6,0.9223118325074514,0.6401037286443086,0.21034640073776245,1.5982592105865479,0.9071897715330124
ASL,newspaper,4,6,0.7960049410661062,0.5343986671439266,0.2075234353542328,1.3860872983932495,0.7677321583032608
ASL,nose,6,15,0.7803478638331095,0.5245912267843625,0.16951680183410645,1.5891250371932983,0.7317540049552917
ASL,o,4,6,0.7604903678099314,0.3654547203002419,0.26922887563705444,1.183089017868042,0.7360603660345078
ASL,my,6,15,0.7101026107867559,0.5629843377332509,0.22460944950580597,1.5982592105865479,0.3331703245639801
ASL,message,5,10,0.6828773751854896,0.568977615037398,0.1803147941827774,1.4039595127105713,0.2382594719529152
ASL,neutral,6,15,0.6817391321063042,0.6247302268408633,0.08455868810415268,1.6513190269470215,0.35076460242271423
ASL,let,4,6,0.6175364429752032,0.24621409857528306,0.17816941440105438,0.8385059237480164,0.7351946234703064
ASL,necessary,4,6,0.5994167551398277,0.26931979624658897,0.18432490527629852,0.9245147109031677,0.6192677766084671
ASL,match,8,28,0.593350491885628,0.3730715496841115,0.19108794629573822,1.4806015491485596,0.42950722575187683
ASL,month,7,21,0.5823188133182979,0.5933320940174592,0.1266138106584549,1.5840011835098267,0.22907166182994843
ASL,mind,5,10,0.5763328388333321,0.3649972521868171,0.2307721972465515,1.0919913053512573,0.3226436823606491
ASL,math,7,21,0.5616124208484378,0.5324563735380806,0.16316215693950653,1.4748095273971558,0.23934611678123474
ASL,march,7,21,0.5585287717126665,0.31974512200428074,0.20484000444412231,1.1296329498291016,0.43900778889656067
ASL,meet,9,36,0.5469716894957755,0.28241726118909216,0.1263292133808136,1.0614140033721924,0.49058496952056885
ASL,left,5,10,0.5428057044744492,0.14880879303254121,0.25776466727256775,0.7616873979568481,0.5538840591907501
ASL,most,7,21,0.5215798041650227,0.4640907828112654,0.17651258409023285,1.3164551258087158,0.2594658136367798
ASL,lucky,7,21,0.5206747133107412,0.41646621366671693,0.14085938036441803,1.2304636240005493,0.28181490302085876
ASL,negative,7,21,0.5189858483416694,0.3708172827273205,0.12953920662403107,1.1284760236740112,0.3251076936721802
ASL,neighbor,7,21,0.5144915793623243,0.3857523444412737,0.13035307824611664,1.2172263860702515,0.33359554409980774
