dataset,label,sample_id_a,sample_id_b,dtw_distance
ASL,lead,32535,32537,0.18093439936637878
ASL,lead,32535,32538,0.12127652019262314
ASL,lead,32535,32539,0.2353847175836563
ASL,lead,32535,32541,0.968712568283081
ASL,lead,32535,32547,0.41559985280036926
ASL,lead,32535,66020,0.20551042258739471
ASL,lead,32537,32538,0.10532356053590775
ASL,lead,32537,32539,0.18143171072006226
ASL,lead,32537,32541,0.9878366589546204
ASL,lead,32537,32547,0.40915027260780334
ASL,lead,32537,66020,0.30253368616104126
ASL,lead,32538,32539,0.1819010227918625
ASL,lead,32538,32541,0.9628283977508545
ASL,lead,32538,32547,0.42362070083618164
ASL,lead,32538,66020,0.23218706250190735
ASL,lead,32539,32541,0.942047655582428
ASL,lead,32539,32547,0.4359533190727234
ASL,lead,32539,66020,0.31113481521606445
ASL,lead,32541,32547,1.171160101890564
ASL,lead,32541,66020,0.817771852016449
ASL,lead,32547,66020,0.5029722452163696
ASL,leader,32520,32521,0.17291225492954254
ASL,leader,32520,32522,0.26336294412612915
ASL,leader,32520,32523,0.1746160238981247
ASL,leader,32520,32530,0.4535636007785797
ASL,leader,32521,32522,0.2053471952676773
ASL,leader,32521,32523,0.13225427269935608
ASL,leader,32521,32530,0.427263468503952
ASL,leader,32522,32523,0.2504451870918274
ASL,leader,32522,32530,0.43404215574264526
ASL,leader,32523,32530,0.4170443117618561
ASL,leaf,32554,32555,0.22455282509326935
ASL,leaf,32554,32557,0.5700323581695557
ASL,leaf,32554,32559,0.37600478529930115
ASL,leaf,32554,66021,0.26209399104118347
ASL,leaf,32554,69384,0.23622512817382812
ASL,leaf,32555,32557,0.5289445519447327
ASL,leaf,32555,32559,0.24176892638206482
ASL,leaf,32555,66021,0.18167485296726227
ASL,leaf,32555,69384,0.1385544240474701
ASL,leaf,32557,32559,0.46529820561408997
ASL,leaf,32557,66021,0.49478209018707275
ASL,leaf,32557,69384,0.46511557698249817
ASL,leaf,32559,66021,0.21352265775203705
ASL,leaf,32559,69384,0.20355795323848724
ASL,leaf,66021,69384,0.18498247861862183
ASL,league,32562,32563,0.16179195046424866
ASL,league,32562,66022,0.16339977085590363
ASL,league,32563,66022,0.2644254267215729
ASL,leak,32569,32570,0.3419666290283203
ASL,leak,32569,32571,0.2146340012550354
ASL,leak,32569,32575,0.4921245574951172
ASL,leak,32569,32579,0.22259026765823364
ASL,leak,32570,32571,0.3964524567127228
ASL,leak,32570,32575,0.40645667910575867
ASL,leak,32570,32579,0.23777684569358826
ASL,leak,32571,32575,0.4856413006782532
ASL,leak,32571,32579,0.23638051748275757
ASL,leak,32575,32579,0.41363564133644104
ASL,learn,32604,32605,0.2335367649793625
ASL,learn,32604,32606,0.15650899708271027
ASL,learn,32604,32607,0.3110320270061493
ASL,learn,32604,32608,0.1802050769329071
ASL,learn,32604,32612,0.3409309387207031
ASL,learn,32604,32616,0.20307016372680664
ASL,learn,32604,66024,0.22272004187107086
ASL,learn,32605,32606,0.23248782753944397
ASL,learn,32605,32607,0.39556705951690674
ASL,learn,32605,32608,0.28525176644325256
ASL,learn,32605,32612,0.3786020576953888
ASL,learn,32605,32616,0.2748359143733978
ASL,learn,32605,66024,0.20168615877628326
ASL,learn,32606,32607,0.30544760823249817
ASL,learn,32606,32608,0.16640885174274445
ASL,learn,32606,32612,0.3956165611743927
ASL,learn,32606,32616,0.19023136794567108
ASL,learn,32606,66024,0.23546479642391205
ASL,learn,32607,32608,0.2808142900466919
ASL,learn,32607,32612,0.44768425822257996
ASL,learn,32607,32616,0.3364352285861969
ASL,learn,32607,66024,0.4454594850540161
ASL,learn,32608,32612,0.39187824726104736
ASL,learn,32608,32616,0.13877470791339874
ASL,learn,32608,66024,0.2682112753391266
ASL,learn,32612,32616,0.4303160011768341
ASL,learn,32612,66024,0.41959381103515625
ASL,learn,32616,66024,0.22901564836502075
ASL,leave,32654,32655,0.20070762932300568
ASL,leave,32654,32657,0.22680354118347168
ASL,leave,32654,32658,0.3867731988430023
ASL,leave,32654,32659,0.2745899558067322
ASL,leave,32654,32661,0.2202455997467041
ASL,leave,32654,32662,0.2136632353067398
ASL,leave,32654,32667,0.452116996049881
ASL,leave,32654,32669,0.640304684638977
ASL,leave,32654,32677,0.2289174199104309
ASL,leave,32654,66025,0.3943338990211487
ASL,leave,32655,32657,0.2243460714817047
ASL,leave,32655,32658,0.3764954209327698
ASL,leave,32655,32659,0.27560195326805115
ASL,leave,32655,32661,0.23482869565486908
ASL,leave,32655,32662,0.22907264530658722
ASL,leave,32655,32667,0.4659557342529297
ASL,leave,32655,32669,0.6468351483345032
ASL,leave,32655,32677,0.23365086317062378
ASL,leave,32655,66025,0.3925709128379822
ASL,leave,32657,32658,0.3000895380973816
ASL,leave,32657,32659,0.2275686264038086
ASL,leave,32657,32661,0.22581787407398224
ASL,leave,32657,32662,0.1881481558084488
ASL,leave,32657,32667,0.48902204632759094
ASL,leave,32657,32669,0.6945576071739197
ASL,leave,32657,32677,0.253888875246048
ASL,leave,32657,66025,0.35586559772491455
ASL,leave,32658,32659,0.26231297850608826
ASL,leave,32658,32661,0.38354721665382385
ASL,leave,32658,32662,0.3078767657279968
ASL,leave,32658,32667,0.5865852236747742
ASL,leave,32658,32669,0.7136796712875366
ASL,leave,32658,32677,0.3966830372810364
ASL,leave,32658,66025,0.28835925459861755
ASL,leave,32659,32661,0.28200092911720276
ASL,leave,32659,32662,0.20249302685260773
ASL,leave,32659,32667,0.545061469078064
ASL,leave,32659,32669,0.7257789969444275
ASL,leave,32659,32677,0.29373088479042053
ASL,leave,32659,66025,0.26666387915611267
ASL,leave,32661,32662,0.17917604744434357
ASL,leave,32661,32667,0.5703960061073303
ASL,leave,32661,32669,0.7659751772880554
ASL,leave,32661,32677,0.1237708181142807
ASL,leave,32661,66025,0.4732261896133423
ASL,leave,32662,32667,0.5390849709510803
ASL,leave,32662,32669,0.7417236566543579
ASL,leave,32662,32677,0.16451984643936157
ASL,leave,32662,66025,0.38595497608184814
ASL,leave,32667,32669,0.42111024260520935
ASL,leave,32667,32677,0.6048040390014648
ASL,leave,32667,66025,0.5571881532669067
ASL,leave,32669,32677,0.7877946496009827
ASL,leave,32669,66025,0.636127233505249
ASL,leave,32677,66025,0.45482301712036133
ASL,lecture,32693,32694,0.3933834731578827
ASL,lecture,32693,32695,0.36197587847709656
ASL,lecture,32693,32696,0.3581031858921051
ASL,lecture,32693,32697,0.3229789137840271
ASL,lecture,32693,32699,0.4068480134010315
ASL,lecture,32693,32701,0.3791310489177704
ASL,lecture,32694,32695,0.14335444569587708
ASL,lecture,32694,32696,0.15133386850357056
ASL,lecture,32694,32697,0.1730986386537552
ASL,lecture,32694,32699,0.4774475395679474
ASL,lecture,32694,32701,0.13264736533164978
ASL,lecture,32695,32696,0.11639730632305145
ASL,lecture,32695,32697,0.15627767145633698
ASL,lecture,32695,32699,0.4998228847980499
ASL,lecture,32695,32701,0.1465054303407669
ASL,lecture,32696,32697,0.16029095649719238
ASL,lecture,32696,32699,0.4716658890247345
ASL,lecture,32696,32701,0.12241758406162262
ASL,lecture,32697,32699,0.44053778052330017
ASL,lecture,32697,32701,0.1606198400259018
ASL,lecture,32699,32701,0.49035611748695374
ASL,left,32722,32725,0.39148610830307007
ASL,left,32722,32728,0.5222628712654114
ASL,left,32722,32729,0.7035245895385742
ASL,left,32722,32735,0.25776466727256775
ASL,left,32725,32728,0.6420251131057739
ASL,left,32725,32729,0.6456428170204163
ASL,left,32725,32735,0.3958953619003296
ASL,left,32728,32729,0.574916422367096
ASL,left,32728,32735,0.5328516960144043
ASL,left,32729,32735,0.7616873979568481
ASL,legal,32754,32755,0.28177282214164734
ASL,legal,32754,32757,0.3758097290992737
ASL,legal,32754,32759,0.27796438336372375
ASL,legal,32755,32757,0.40739622712135315
ASL,legal,32755,32759,0.1233740970492363
ASL,legal,32757,32759,0.44729068875312805
ASL,lemon,32812,32813,0.20062106847763062
ASL,lemon,32812,32814,0.1704780012369156
ASL,lemon,32812,32820,0.23526249825954437
ASL,lemon,32812,66030,0.43106895685195923
ASL,lemon,32812,66031,0.4127733111381531
ASL,lemon,32812,66032,0.439954936504364
ASL,lemon,32812,66033,0.40839603543281555
ASL,lemon,32813,32814,0.19748061895370483
ASL,lemon,32813,32820,0.26709043979644775
ASL,lemon,32813,66030,0.495998740196228
ASL,lemon,32813,66031,0.44135215878486633
ASL,lemon,32813,66032,0.4633113741874695
ASL,lemon,32813,66033,0.4266187250614166
ASL,lemon,32814,32820,0.15292499959468842
ASL,lemon,32814,66030,0.3545074164867401
ASL,lemon,32814,66031,0.3211505711078644
ASL,lemon,32814,66032,0.347280353307724
ASL,lemon,32814,66033,0.31563737988471985
ASL,lemon,32820,66030,0.31825491786003113
ASL,lemon,32820,66031,0.30635786056518555
ASL,lemon,32820,66032,0.33290866017341614
ASL,lemon,32820,66033,0.29594504833221436
ASL,lemon,66030,66031,0.1638638973236084
ASL,lemon,66030,66032,0.18054619431495667
ASL,lemon,66030,66033,0.18698948621749878
ASL,lemon,66031,66032,0.04724840074777603
ASL,lemon,66031,66033,0.04867669567465782
ASL,lemon,66032,66033,0.059825874865055084
ASL,lend,32824,32825,0.2296474426984787
ASL,lend,32824,32827,0.4427027404308319
ASL,lend,32824,32828,0.36890512704849243
ASL,lend,32824,32830,0.18117038905620575
ASL,lend,32824,66034,0.22030121088027954
ASL,lend,32825,32827,0.3271769881248474
ASL,lend,32825,32828,0.30752140283584595
ASL,lend,32825,32830,0.2335134893655777
ASL,lend,32825,66034,0.22534403204917908
ASL,lend,32827,32828,0.28411948680877686
