metric,value
Mean Similarity,0.5700629693553584
Median,0.555423156244597
Standard Deviation,0.1765819134002437
Minimum,0.15050170520953948
Maximum,0.9741848548922631
Percentile 25,0.44342431371963864
Percentile 75,0.6942661074679521
