video_path,video_name,fps,frame_count,processed_frames,sampled_frames,sample_frames_config,analysis_width_config,flow_every_n,mediapipe_every_n,mediapipe_checked_frames,resolution,analysis_resolution,brightness_mean,brightness_std,blur_mean,blur_std,edge_density_mean,edge_density_std,motion_mean,motion_std,occlusion_rate,hand_visibility_ratio,hand_detected_frames,person_area_ratio_mean,person_area_ratio_std,frontality_score,angle_variance,shoulder_angle_mean
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\D0001B.mp4,D0001B.mp4,29.97002997002997,130,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",84.6731589988426,25.19466574502688,481.15335334536707,59.31447230627306,0.026236979166666664,0.0021629525109381595,0.18252822672101585,0.1690912680320424,0.6666666666666667,1.0,2,0.3489640866746422,0.05145821443269852,0.9918893600503603,0.007934818665186564,58.490375935109455
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\D0001N.mp4,D0001N.mp4,29.97002997002997,133,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",84.79800347222222,25.210773145658447,480.59384550309045,60.782848842213234,0.025655381944444444,0.0021324225400597943,0.16377296451140533,0.14316674196942902,0.6666666666666667,1.0,2,0.32949798634555805,0.013706606475335158,0.9906891956925392,0.008851438760757446,177.74159458543082
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\D0001T.mp4,D0001T.mp4,29.97002997002997,133,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",84.82181712962962,25.256143320218712,478.8850580314731,60.417239858092685,0.02597583912037037,0.0022289765695306593,0.1631356140767986,0.14310418606967526,0.6666666666666667,1.0,2,0.33174184884754193,0.012791955505495516,0.9901879032452902,0.007042308648427327,177.9920137727131
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\D0002.mp4,D0002.mp4,23.976023976023978,147,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",89.44125868055556,25.20315856119912,292.1901710461526,17.50697574946994,0.023011429398148143,0.0013730833445718565,0.2283471335064281,0.21859288654402304,0.6666666666666667,1.0,2,0.3091450767257067,0.04577377569528591,0.9735550532738367,0.006639758745829265,59.80813449165842
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\D0003.mp4,D0003.mp4,29.97002997002997,125,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",89.46382306134258,25.77246358427944,361.0994435747061,40.80477790630979,0.024427083333333335,0.0016547258035364664,0.2737477961080996,0.2836319578682885,0.6666666666666667,1.0,2,0.35080251613303215,0.035501288068854484,0.9875583673516909,0.0084142138560613,-178.25917205748132
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\D0004.mp4,D0004.mp4,29.97002997002997,125,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",89.18407407407408,25.352007391594714,403.07751431597165,47.5837091125843,0.024343171296296293,0.0009770114280205132,0.21537059291519903,0.12900719413497216,0.5,1.0,3,0.33999099436959224,0.030560754976463954,0.9794602418939272,0.009704843163490295,0.03747327226923858
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\D0005B.mp4,D0005B.mp4,29.97002997002997,184,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",85.72366247106481,24.621456489329717,534.308728645331,74.87885496651076,0.024808304398148146,0.00224122283765577,0.350444686006416,0.2586676809526208,0.8333333333333334,1.0,1,0.2673080959873972,0.08012742929765897,0.8207985013723373,0.011571685473124186,-171.5952413692892
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\D0005N.mp4,D0005N.mp4,29.97002997002997,213,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",85.77175781250001,24.75014460897047,545.9435860071378,10.070438270502425,0.02517650462962963,0.0012540891139137614,0.322852225466208,0.2221370880970385,0.6666666666666667,1.0,2,0.25899003363972817,0.06501798519024074,0.8918375372886658,0.0187289963165919,-171.83797029047506
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\D0005T.mp4,D0005T.mp4,29.97002997002997,213,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",85.79638382523149,24.79690045855827,543.8226553521678,10.21343215557009,0.025426793981481483,0.0013013203461562642,0.32240417870608246,0.22264215765536308,0.6666666666666667,1.0,2,0.2571264692240825,0.05933076605732755,0.8917005409797033,0.01759279767672221,-172.0706702640483
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\D0006.mp4,D0006.mp4,29.97002997002997,115,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",89.08925708912035,25.13204541988327,351.5908753450747,35.99274857891912,0.023600983796296295,0.0009157323274824876,0.1170875732363625,0.10151118151604943,0.5,1.0,3,0.3178930623395102,0.01559279363628726,0.9911969552437464,0.008167852958043417,-59.57822422427711
