metric,ASL,VSL
acceleration_std,4.4922564730184025,3.7161465960477997
direction_change_count,71.45578231292517,128.85714285714286
displacement,0.26009912348410186,0.16122262058677253
hand_body_dist_mean,,
hand_body_dist_std,,
hand_face_dist_mean,,
hand_face_dist_std,,
hand_frame_missing_ratio,0.029716447380536724,0.002794524395598507
hand_point_missing_ratio,0.11249286330336981,0.05677634632466919
left_right_hand_dist_mean,1.0541319052280065,1.1420592787759447
left_right_hand_dist_std,0.21706283334399093,0.2060940975162784
max_acceleration,18.918961288724223,17.63611593560858
max_motion,0.7142357886420424,0.6729312194900199
max_velocity,20.368737382649563,20.102217764382836
mean_acceleration,2.255131741214569,1.8465186923263186
mean_motion,0.08301736231434552,0.10429606449360217
mean_velocity,2.3822014354223624,3.1196263882651403
motion_variance,0.015683426506919104,0.011843124052489197
num_frames,67.4124149659864,97.15824175824176
straightness_ratio,0.11948598580894618,0.03676658209892181
total_motion,5.440198938152981,9.899208308473373
trajectory_bbox_area,0.27481428491681037,0.3471625721911071
trajectory_length,5.440198938249498,9.899208310658047
velocity_std,3.402969657590255,3.161976292932059
