metric,value
Mean Similarity,0.5692703219017212
Median,0.5554814083032483
Standard Deviation,0.17420272969839995
Minimum,0.14522708964628217
Maximum,0.9741848548922631
Percentile 25,0.4483033730226489
Percentile 75,0.6954701974639186
