dataset,gloss,num_samples,mean_distance,median_distance,std_distance,within_class_variance,max_distance
VSL,e thẹn,3,32.17116834302465,24.776592342351982,10.695594256295337,114.39573649529781,47.295782761673074
VSL,màn,3,20.030139807996758,16.181275409353685,6.314139896683057,39.868362634884726,28.932553526566572
VSL,quần bò,3,19.331901228901987,14.508272137044605,6.833985760659838,46.70336137690143,28.996611324436536
VSL,tôn trọng,2,18.16348790935062,18.16348790935062,2.5121479338940403e-15,6.310887241768095e-30,18.163487909350625
VSL,bít tết (bò),3,15.853447911585034,13.383237554457748,5.599766556599453,31.3573854884097,23.604658048348043
VSL,chuyên gia,3,14.740922815498934,12.161109744299262,4.850977864255086,23.531986239492834,21.535954485688332
VSL,liếc nhìn,3,14.004352230916533,10.527119535011423,4.94376312579238,24.440793843944437,20.995856389379895
VSL,Lượm,2,13.767340516497551,13.767340516497551,1.2560739669470201e-15,1.5777218104420236e-30,13.767340516497551
VSL,quê,3,11.044199623425575,8.427825897199053,3.8807516742221395,15.06023355697794,16.530459215561223
VSL,chúc thọ,3,10.030263965533608,7.782952873599839,3.4965837127320887,12.226097660143319,14.968541528459522
VSL,quả đu đủ,3,9.915118130617646,9.428501647862827,0.7096656453652894,0.5036253282117328,10.918585099729663
VSL,xe cứu hỏa,2,9.45515894298297,9.45515894298297,0.0,0.0,9.45515894298297
VSL,hệ thống,3,9.056268913049392,6.952421965016907,3.191764321570547,10.187359484450694,13.566719565087638
VSL,trốn chạy,3,8.862166247190313,6.880053622656503,3.014170547221362,9.085224087736725,13.12144199660535
VSL,kẹo,3,8.76983755172394,6.675130443393963,3.0925436882746684,9.563826463887489,13.14208077226361
VSL,quả bưởi,3,8.727038781482685,7.075758311701981,3.095587912314697,9.582664522868866,13.063939672019938
VSL,đèn pin,3,8.534026719447715,7.468275651954665,2.3023440519799734,5.300788133687562,11.731355892711056
VSL,toà án,3,8.37412636185821,6.4074241407700026,2.9447065585621237,8.671296716038787,12.53647210187768
VSL,cây bàng,2,8.34063373830896,8.34063373830896,0.0,0.0,8.34063373830896
VSL,Thừa Thiên – Huế,3,8.22459279240462,7.913644715548307,1.185689432535497,1.405859430426349,9.807047074481593
