metric,value
Mean Similarity,0.5571833698806217
Median,0.5533702324207879
Standard Deviation,0.1706975493367492
Minimum,0.1477029338806773
Maximum,0.9283329628133317
Percentile 25,0.42310067098980264
Percentile 75,0.6870714442277623
