dataset,threshold_missing,usable_video_ratio
ASL,0.1,0.10717863105175292
ASL,0.3,0.21035058430717862
ASL,0.5,0.430550918196995
ASL,0.7,0.8121035058430718
VSL,0.1,0.1893626776707932
VSL,0.3,0.3133883539660706
VSL,0.5,0.4621733149931224
VSL,0.7,0.7730398899587345
