dataset,Pose detection rate,Face detection rate,Hand detection rate,Pose missing ratio,Hand missing ratio,Face missing ratio,Left hand missing rate,Right hand missing rate,Both hands missing rate
ASL,0.9915136338341679,0.952599738881041,0.6697704507512521,0.008486366165831922,0.48302378964941567,0.04740026111895892,0.33022954924874787,0.33022954924874787,0.33022954924874787
VSL,0.9986741555861225,0.3055050024100918,0.6645269753935503,0.0013258444138774216,0.45364702735748125,0.6944949975899082,0.3354730246064496,0.3354730246064496,0.3354730246064496
