dataset,gloss,video,path,hand,valid_frame_ratio,dominant_location,head_ratio,shoulder_ratio,chest_ratio,waist_ratio,below_waist_ratio
VSL,giàn khoan,W01444.npz,dataset\VSL\giàn khoan\W01444.npz,left,0.9259259259259259,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giàn khoan,W01444.npz,dataset\VSL\giàn khoan\W01444.npz,right,0.9259259259259259,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giàn mướp,W01427.npz,dataset\VSL\giàn mướp\W01427.npz,left,0.9361702127659575,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giàn mướp,W01427.npz,dataset\VSL\giàn mướp\W01427.npz,right,0.9361702127659575,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giàn nho,W01445.npz,dataset\VSL\giàn nho\W01445.npz,left,0.9411764705882353,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giàn nho,W01445.npz,dataset\VSL\giàn nho\W01445.npz,right,0.9411764705882353,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giá sách,W01420.npz,dataset\VSL\giá sách\W01420.npz,left,0.7641509433962265,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giá sách,W01420.npz,dataset\VSL\giá sách\W01420.npz,right,0.7641509433962265,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giá trị,W01433B.npz,dataset\VSL\giá trị\W01433B.npz,left,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giá trị,W01433B.npz,dataset\VSL\giá trị\W01433B.npz,right,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giá trị,W01433N.npz,dataset\VSL\giá trị\W01433N.npz,left,0.8441558441558441,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giá trị,W01433N.npz,dataset\VSL\giá trị\W01433N.npz,right,0.8441558441558441,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giá trị,W01433T.npz,dataset\VSL\giá trị\W01433T.npz,left,0.8466666666666667,shoulder,0.0,1.0,0.0,0.0,0.0
