dataset,dominant_location,count,dataset_total,percentage
ASL,below_waist,7,16780,0.041716328963051254
ASL,head,1,16780,0.0059594755661501785
ASL,shoulder,16772,16780,99.9523241954708
VSL,below_waist,9,7000,0.12857142857142856
VSL,chest,2,7000,0.028571428571428574
VSL,head,9,7000,0.12857142857142856
VSL,shoulder,6980,7000,99.71428571428571
