dataset,threshold_missing,usable_video_ratio
ASL,0.1,0.11669449081803004
ASL,0.3,0.3704507512520868
ASL,0.5,0.6549248747913189
ASL,0.7,0.9508347245409015
VSL,0.1,0.3010087116001834
VSL,0.3,0.5178817056396149
VSL,0.5,0.7980284273269143
VSL,0.7,0.9958734525447043
