video_name,fps,frame_count,blur_mean,brightness_std,edge_density_mean,motion_mean,occlusion_rate,hand_visibility_ratio,person_area_ratio_mean,frontality_score
D0001B.mp4,29.97002997002997,130,481.15335334536707,25.19466574502688,0.026236979166666664,0.18252822672101585,0.6666666666666667,1.0,0.3489640866746422,0.9918893600503603
D0001N.mp4,29.97002997002997,133,480.59384550309045,25.210773145658447,0.025655381944444444,0.16377296451140533,0.6666666666666667,1.0,0.32949798634555805,0.9906891956925392
D0001T.mp4,29.97002997002997,133,478.8850580314731,25.256143320218712,0.02597583912037037,0.1631356140767986,0.6666666666666667,1.0,0.33174184884754193,0.9901879032452902
D0002.mp4,23.976023976023978,147,292.1901710461526,25.20315856119912,0.023011429398148143,0.2283471335064281,0.6666666666666667,1.0,0.3091450767257067,0.9735550532738367
D0003.mp4,29.97002997002997,125,361.0994435747061,25.77246358427944,0.024427083333333335,0.2737477961080996,0.6666666666666667,1.0,0.35080251613303215,0.9875583673516909
D0004.mp4,29.97002997002997,125,403.07751431597165,25.352007391594714,0.024343171296296293,0.21537059291519903,0.5,1.0,0.33999099436959224,0.9794602418939272
D0005B.mp4,29.97002997002997,184,534.308728645331,24.621456489329717,0.024808304398148146,0.350444686006416,0.8333333333333334,1.0,0.2673080959873972,0.8207985013723373
D0005N.mp4,29.97002997002997,213,545.9435860071378,24.75014460897047,0.02517650462962963,0.322852225466208,0.6666666666666667,1.0,0.25899003363972817,0.8918375372886658
D0005T.mp4,29.97002997002997,213,543.8226553521678,24.79690045855827,0.025426793981481483,0.32240417870608246,0.6666666666666667,1.0,0.2571264692240825,0.8917005409797033
D0006.mp4,29.97002997002997,115,351.5908753450747,25.13204541988327,0.023600983796296295,0.1170875732363625,0.5,1.0,0.3178930623395102,0.9911969552437464
D0007.mp4,29.97002997002997,150,349.6032406770055,25.50812971709331,0.024207175925925927,0.17796748038381338,0.6666666666666667,1.0,0.3843626608592133,0.9904532457391421
D0008.mp4,29.97002997002997,99,351.9733788553622,25.235347850346574,0.023181423611111113,0.17963188751177353,0.5,1.0,0.3324200969211282,0.9863697414596876
D0009.mp4,29.97002997002997,99,439.45045385747216,25.54404320346187,0.02376519097222222,0.1152138967405666,0.33333333333333337,1.0,0.31955618342343506,0.9795966471234957
D0010.mp4,29.97002997002997,126,500.50765286204654,25.705493331267434,0.024174623842592596,0.10828283056616783,0.5,1.0,0.32585211146115345,0.9833277588089308
D0011.mp4,29.97002997002997,100,489.6407357991411,25.542831976216593,0.025494068287037038,0.24812544137239456,0.6666666666666667,1.0,0.31855867533472093,0.9822438607613245
D0012.mp4,29.97002997002997,145,389.9119863090986,24.958495616270415,0.02473162615740741,0.17014055360447278,0.6666666666666667,1.0,0.3063983576444622,0.9854485193888346
D0013.mp4,29.97002997002997,114,549.4536616080704,25.690748007095536,0.024972511574074072,0.11407031592997638,0.5,1.0,0.32090942227169467,0.9855869437257448
D0014.mp4,29.97002997002997,137,402.63728392880284,25.77391889207497,0.025392071759259265,0.2427276513454589,0.5,1.0,0.3957384993656062,0.9889062816898028
D0015.mp4,29.97002997002997,139,347.89337378979593,25.80997459047103,0.022986834490740737,0.1386213790286671,0.5,1.0,0.343830448671082,0.992115706205368
D0016.mp4,29.97002997002997,118,435.8541356222019,25.144288443345204,0.025401475694444443,0.16759439998052336,0.6666666666666667,1.0,0.36464603642457255,0.9924105753501257
D0017.mp4,29.97002997002997,115,374.97708451143745,25.17089714589767,0.023835358796296297,0.16343788311562754,0.5,1.0,0.32131748000939747,0.9890234172344208
D0018.mp4,29.97002997002997,143,394.43228482637124,25.471923207028183,0.024697627314814813,0.27634222974831407,0.6666666666666667,1.0,0.3207895736035222,0.9946835488080978
D0019B.mp4,29.97002997002997,107,459.38710186706044,25.250855271894682,0.024599247685185188,0.14676976280117576,0.5,1.0,0.3233647994051522,0.9795250594615936
D0019N.mp4,29.97002997002997,127,469.2412792792677,25.1194580093206,0.026236979166666664,0.21854321658611298,0.5,1.0,0.3519302277563658,0.9583904395500819
D0019T.mp4,29.97002997002997,127,467.42893940059207,25.16532159112003,0.02640697337962963,0.21882681277665225,0.5,1.0,0.3531304933151637,0.9590631723403931
D0020B.mp4,29.97002997002997,131,522.8620208972822,25.67897719687919,0.026422887731481482,0.2321101821620356,0.6666666666666667,1.0,0.3677264695639346,0.9862560381491979
D0020N.mp4,29.97002997002997,90,535.2060439793339,26.08655812110329,0.027445746527777776,0.22001900964162566,0.16666666666666663,1.0,0.31902700982196364,0.9760877614219984
D0020T.mp4,29.97002997002997,257,679.0768816691709,27.59486445415945,0.029875578703703703,0.30672401579266245,0.6666666666666667,1.0,0.357169451659038,0.9842990959684054
D0021.mp4,29.97002997002997,120,349.95171161441255,25.772042848046073,0.024596354166666667,0.20876139503988353,0.5,1.0,0.36910982874091225,0.9910520116488138
D0022.mp4,29.97002997002997,93,509.112185128847,25.620689373076317,0.02415870949074074,0.0651464309882034,1.0,0.0,0.33825800499531616,0.9938404113054276
D0023.mp4,29.97002997002997,117,484.31862557964564,24.779138984516823,0.02570818865740741,0.3400551722469655,0.5,1.0,0.3200412598756946,0.9806427781780561
D0024B.mp4,29.97002997002997,174,671.2487378543556,28.31663041289777,0.030162760416666667,0.3078481521118771,0.33333333333333337,1.0,0.36546432594617073,0.987387960155805
D0024N.mp4,29.97002997002997,183,670.8991677495133,28.351058449604512,0.03021556712962963,0.3797017979350957,0.33333333333333337,1.0,0.3315409271409244,0.995899498462677
D0024T.mp4,29.97002997002997,183,669.0920802603388,28.393168242215726,0.030526620370370367,0.378979202021252,0.33333333333333337,1.0,0.3315523608918441,0.995649034778277
D0026.mp4,29.97002997002997,145,296.0344622208834,24.977959180232943,0.022577401620370367,0.11127051440152255,0.5,1.0,0.3259240845501485,0.9901703720291456
D0027.mp4,29.97002997002997,129,459.91614592818905,27.224627245256684,0.02578269675925926,0.36785541982813313,0.33333333333333337,1.0,0.38701526795385427,0.9694508835673332
D0028.mp4,29.97002997002997,98,668.0563542042547,26.536928885828,0.027316984953703702,0.2587495436045257,0.33333333333333337,1.0,0.3787560130400121,0.9754187812407812
D0029B.mp4,29.97002997002997,129,512.6916557819508,25.536510682284966,0.026022135416666665,0.14000142433426596,0.5,1.0,0.34339970997449704,0.9843000968297323
D0029N.mp4,29.97002997002997,117,509.5132261247674,25.493768281783673,0.02601707175925926,0.14277518523687666,0.6666666666666667,1.0,0.34930102444459826,0.9819699029127756
D0029T.mp4,29.97002997002997,117,507.5469275324315,25.540704805241763,0.026362847222222225,0.14194872264157643,0.6666666666666667,1.0,0.3491741671826407,0.9806222418944041
D0030.mp4,29.97002997002997,134,453.50969097104166,26.051943858062675,0.02615017361111111,0.32756534117189323,0.6666666666666667,1.0,0.4583310630236917,0.993679774304231
D0031B.mp4,29.97002997002997,138,629.4666870449238,25.82082970469438,0.025899160879629627,0.12089676384560087,0.6666666666666667,1.0,0.32031100443895993,0.9637280354897181
D0031N.mp4,29.97002997002997,97,625.6238602831428,26.539892947582757,0.027719184027777777,0.15941109169613232,0.0,1.0,0.34775323185375573,0.9840944136182467
D0031T.mp4,29.97002997002997,97,623.9080890495144,26.58409475042502,0.02795138888888889,0.15907558426260948,0.0,1.0,0.34763985001844677,0.9840692033370336
D0032.mp4,29.97002997002997,114,332.83331218316977,23.83646926541648,0.02290581597222222,0.18190823918716473,0.6666666666666667,1.0,0.31622583330628257,0.969648520151774
D0033B.mp4,29.97002997002997,111,556.1897109977691,26.904636183899612,0.028582175925925924,0.22850691357796843,0.5,1.0,0.4228128538911691,0.8974369068940481
D0033N.mp4,29.97002997002997,125,538.4064554650954,26.714767391947078,0.02763888888888889,0.17796974544498054,0.6666666666666667,1.0,0.3846465634872205,0.9780694420138994
D0033T.mp4,29.97002997002997,125,536.7526410592287,26.754560783733567,0.02788411458333333,0.1778725224801085,0.6666666666666667,1.0,0.3880881000793816,0.9790186087290446
D0034.mp4,29.97002997002997,104,413.2968440761488,25.52429090334661,0.025007233796296297,0.24665528908371925,0.6666666666666667,1.0,0.3445400109074524,0.9934898242354393
D0035B.mp4,29.97002997002997,83,574.2709699595761,25.863200354631175,0.027246093750000002,0.2463198405775157,0.16666666666666663,1.0,0.34375173649919066,0.9843477879961332
D0035N.mp4,29.97002997002997,95,568.8677568684769,26.139157603235404,0.026631944444444444,0.2707850130444223,0.33333333333333337,1.0,0.33407580892176963,0.9874768455823263
D0035T.mp4,29.97002997002997,87,582.903578442835,26.327410041642576,0.026804108796296296,0.22597907754507932,0.33333333333333337,1.0,0.34186300179363044,0.9832626680533091
D0036.mp4,29.97002997002997,140,371.80769213057147,25.482429637828904,0.02379701967592593,0.12487995252013206,0.6666666666666667,1.0,0.33899396096146334,0.9895268132289251
D0037.mp4,29.97002997002997,109,353.99225187217183,25.62857799993118,0.023711660879629632,0.20354147238487547,0.5,1.0,0.3228535388889613,0.984313907722632
D0038.mp4,29.97002997002997,144,344.8729123619676,26.008152634908708,0.024549334490740742,0.26033094948665664,0.5,1.0,0.3761859537818076,0.9924582342306772
D0039.mp4,29.97002997002997,139,330.12605341628586,25.416524786563258,0.023212528935185186,0.14571502364494585,0.6666666666666667,1.0,0.32835985946588114,0.9904417892297109
D0040B.mp4,29.97002997002997,120,633.5973561949805,26.26851496199461,0.028461371527777776,0.2119831397113475,0.33333333333333337,1.0,0.345349599795421,0.9895942534009615
D0040N.mp4,29.97002997002997,99,631.6506332428733,25.945814332431155,0.028225549768518515,0.2814715894108469,0.6666666666666667,1.0,0.33113012716391815,0.9840725560983022
D0040T.mp4,29.97002997002997,123,630.8784310985675,26.41772300355123,0.028402777777777777,0.20466766083105045,0.16666666666666663,1.0,0.3313497787152399,0.9857474068800608
D0041.mp4,29.97002997002997,97,302.9815490799892,25.932173408708177,0.024688946759259256,0.27821187768131495,0.5,1.0,0.47070296093569947,0.9867385725180308
D0042B.mp4,29.97002997002997,139,872.8108983081205,27.15832573693182,0.030494068287037036,0.31808679923415184,0.33333333333333337,1.0,0.3441271789679563,0.9868763163685799
D0042N.mp4,29.97002997002997,131,874.6635986468154,27.21918348951319,0.03030598958333333,0.29483540914952755,0.16666666666666663,1.0,0.31725920149536285,0.9853622217973074
D0042T.mp4,29.97002997002997,140,874.5155662588489,27.514567620287593,0.031048177083333333,0.3324447457085956,0.16666666666666663,1.0,0.34131957602227353,0.9809970806042353
D0043B.mp4,29.97002997002997,165,1003.1583716704569,28.09869799593638,0.03234302662037037,0.326835027303208,0.16666666666666663,1.0,0.3431334910602309,0.9801243990659714
D0043N.mp4,29.97002997002997,140,970.793871152738,27.96644586513548,0.03165581597222222,0.273427679118785,0.33333333333333337,1.0,0.3432518645695574,0.9832623029748598
D0043T.mp4,29.97002997002997,165,998.5579499495142,28.15661908176075,0.03247178819444444,0.32727487351406703,0.16666666666666663,1.0,0.3449591250612271,0.9795432885487875
D0044B.mp4,29.97002997002997,131,1060.3619557402308,28.03221471277102,0.03205512152777778,0.3689932244067842,0.5,1.0,0.3205517363707611,0.989848273495833
D0044N.mp4,29.97002997002997,154,1057.5893313859726,27.990242057598238,0.031966145833333334,0.33232572877948935,0.16666666666666663,1.0,0.3114022832800713,0.9869198103745779
D0044T.mp4,29.97002997002997,131,1055.7481706115095,28.0872470907377,0.03212239583333333,0.3692294623364102,0.33333333333333337,1.0,0.3191253423943617,0.9900361771384875
D0045B.mp4,29.97002997002997,119,1181.571491306195,28.07537103838527,0.03374855324074074,0.2731422290883281,0.33333333333333337,1.0,0.3467026537714825,0.9830918709437052
D0045N.mp4,29.97002997002997,150,1213.8403102441105,28.415277845935545,0.03364655671296297,0.23453167622739618,0.16666666666666663,1.0,0.3240034043016247,0.9811849544445673
D0045T.mp4,29.97002997002997,149,1173.7068031692568,28.364305417136563,0.03362774884259259,0.23994235423478213,0.16666666666666663,1.0,0.3387856737499109,0.9854982222119967
D0046B.mp4,29.97002997002997,187,1161.1576314537267,27.70562528134199,0.03321108217592592,0.2618892047215592,0.16666666666666663,1.0,0.3487821852708528,0.9816914151112238
D0046N.mp4,29.97002997002997,124,1153.7048317439578,28.044685431345858,0.03302155671296297,0.24177212369712917,0.33333333333333337,1.0,0.32718141281578017,0.9887327377994856
D0046T.mp4,29.97002997002997,142,1152.5101885518015,28.093647658982764,0.03365885416666667,0.3075117270716212,0.16666666666666663,1.0,0.3504128319366986,0.9877088492115339
D0048B.mp4,29.97002997002997,191,880.1966622426352,29.13621679186046,0.03333116319444445,0.4787649593570016,0.33333333333333337,1.0,0.36520587382753494,0.995405117670695
D0048N.mp4,29.97002997002997,116,711.9855154908358,27.364439163228823,0.02913845486111111,0.4441221244633198,0.5,1.0,0.33676190598258327,0.9948313062389692
D0048T.mp4,29.97002997002997,191,876.0940401909974,29.18960082035709,0.03346064814814815,0.4787741533734582,0.33333333333333337,1.0,0.36800277148202404,0.9955708930889765
