dataset,label,num_samples,num_pairs,intra_class_dtw_mean,intra_class_dtw_std,intra_class_dtw_min,intra_class_dtw_max,intra_class_dtw_median
ASL,lion,5,10,1.3535101771354676,0.4595906601167321,0.6074956059455872,2.198294162750244,1.4184752106666565
ASL,hearing aid,5,10,1.3454312622547149,0.8154334334336202,0.29570668935775757,2.513824462890625,0.8536560833454132
ASL,honey,5,10,1.3384361565113068,0.5666569160764083,0.5096526145935059,2.3523168563842773,1.4800184965133667
ASL,f,4,6,1.3350990513960521,0.7155171999865286,0.4344404339790344,2.2867743968963623,1.3668229579925537
ASL,expect,6,15,1.3337112267812092,0.5078857582329023,0.7344279885292053,2.303403377532959,1.1181501150131226
ASL,cochlear implant,7,21,1.3287445533843267,0.751267466696724,0.21238884329795837,2.6530730724334717,1.1939094066619873
ASL,human,4,6,1.3249729077021282,0.5880390060514396,0.6847327947616577,2.2414236068725586,1.2302930653095245
ASL,consider,4,6,1.324411302804947,0.3095567332901854,0.6773081421852112,1.5559717416763306,1.4652496576309204
ASL,lecture,7,21,1.3161870042483013,0.389231963670356,0.6625310182571411,2.220578670501709,1.2281569242477417
ASL,pour,5,10,1.310060977935791,0.49119917453964307,0.657770037651062,2.0944836139678955,1.2304109930992126
ASL,aim,5,10,1.3063416719436645,0.5885271342190671,0.417667031288147,2.485250234603882,1.140614628791809
ASL,e,4,6,1.3054970701535542,0.7936956910473798,0.32984763383865356,2.27390456199646,1.2961369752883911
ASL,overwhelm,8,28,1.3043694198131561,0.4144975342035386,0.598426103591919,2.0027310848236084,1.3320183753967285
ASL,o,4,6,1.304227039217949,0.7381652745866826,0.4352656304836273,2.229417562484741,1.255426824092865
ASL,lemon,8,28,1.3019811207694667,0.843662065275305,0.10183461010456085,2.320807933807373,1.701880693435669
ASL,b,4,6,1.292946567138036,0.7394619725753027,0.24480271339416504,2.310417413711548,1.3322772979736328
ASL,grandma,4,6,1.291593646009763,0.796472771709347,0.4131494462490082,2.2712724208831787,1.2796806395053864
ASL,hold,5,10,1.289526915550232,0.6937891718189082,0.5016442537307739,2.5468409061431885,0.9867587089538574
ASL,warm,5,10,1.2851299479603768,0.7198678488480404,0.22991304099559784,2.1947529315948486,1.2062293887138367
ASL,j,4,6,1.2838139683008194,0.7181807939905736,0.4565829038619995,2.2060787677764893,1.3182300329208374
ASL,dinosaur,7,21,1.281436759801138,0.46578986328223704,0.486748605966568,1.8273813724517822,1.4799646139144897
ASL,lightning,6,15,1.2801733493804932,0.3671407077040413,0.7445309162139893,1.9121674299240112,1.2558233737945557
ASL,teeth,4,6,1.2778985798358917,0.7675213170311798,0.3233720660209656,2.156764268875122,1.2550739645957947
ASL,parachute,4,6,1.2759441236654918,0.3651366866559181,0.8043525815010071,1.9102017879486084,1.1899935007095337
ASL,n,4,6,1.2747531533241272,0.7461885068379913,0.38454553484916687,2.1731314659118652,1.2918445467948914
ASL,w,4,6,1.2660555442174275,0.6586656542016257,0.5355740785598755,2.1355652809143066,1.234786331653595
