rank,class_name,sample_count,cumulative_fraction
703,chìa khóa,1,0.40119211370930763
704,chín,1,0.40142136634571296
705,chính quyền,1,0.4016506189821183
706,chính tả,1,0.4018798716185236
707,chó cắn,1,0.40210912425492895
708,chó sói,1,0.4023383768913342
709,chó xù,1,0.40256762952773956
710,chõ xôi,1,0.4027968821641449
711,chùa Hương,1,0.4030261348005502
712,chùa Một Cột,1,0.40325538743695555
713,chùa Yên Tử,1,0.4034846400733608
714,chùm hoa,1,0.40371389270976615
715,chùm khế,1,0.4039431453461715
716,chùm nho,1,0.4041723979825768
717,chùm vải,1,0.40440165061898214
718,chú ( người),1,0.4046309032553874
719,chú hề,1,0.40486015589179275
720,chú rể,1,0.4050894085281981
721,chú tễu,1,0.4053186611646034
722,chú ý,1,0.4055479138010087
723,chúi đầu,1,0.405777166437414
724,chúng tôi (2 người) (đại từ),1,0.40600641907381935
725,chúng tôi (3 người) (đại từ),1,0.4062356717102247
726,chúng tôi (4 người) (đại từ),1,0.40646492434663
727,chúng tôi (5 người) (đại từ),1,0.4066941769830353
728,chúng tôi (đại từ),1,0.4069234296194406
729,chăm học,1,0.40715268225584594
730,chương trình,1,0.4073819348922513
731,chạy,1,0.4076111875286566
732,chạy (động vật),1,0.4078404401650619
733,chạy bàn,1,0.4080696928014672
734,chạy chậm,1,0.40829894543787254
735,chạy nhanh,1,0.40852819807427787
736,chấm dứt,1,0.40875745071068315
737,chấm điểm,1,0.4089867033470885
738,chất dẻo,1,0.4092159559834938
739,chất hữu cơ,1,0.40944520861989914
740,chất lượng,1,0.40967446125630447
741,chất lỏng,1,0.40990371389270974
742,chất rắn,1,0.4101329665291151
743,chất thải,1,0.4103622191655204
744,chất đốt,1,0.41059147180192573
745,chất độc,1,0.41082072443833106
746,chất độc màu da cam,1,0.41104997707473634
747,chậm chạp,1,0.41127922971114167
748,chật chội,1,0.411508482347547
749,chậu,1,0.41173773498395233
750,chặn,1,0.41196698762035766
751,chặt chẽ,1,0.41219624025676294
752,chỉ,1,0.41242549289316827
753,chỉ dẫn,1,0.4126547455295736
754,chỉ huy,1,0.4128839981659789
755,chỉ khâu,1,0.4131132508023842
756,chỉnh sửa,1,0.41334250343878953
757,chị dâu,1,0.41357175607519486
758,chọi gà,1,0.4138010087116002
759,chọi trâu,1,0.4140302613480055
760,chọn lọc,1,0.4142595139844108
761,chọn lựa,1,0.41448876662081613
762,chồi non,1,0.41471801925722146
763,chớp mắt,1,0.4149472718936268
764,chợ Bến Thành,1,0.4151765245300321
765,chợ nổi,1,0.4154057771664374
766,chợ nổi Cái Bè,1,0.4156350298028427
767,chợ nổi Cái Răng,1,0.41586428243924806
768,chục,1,0.4160935350756534
769,chục nghìn,1,0.41632278771205866
770,chục triệu,1,0.416552040348464
771,chụp đèn,1,0.4167812929848693
772,chụp ảnh,1,0.41701054562127465
773,chủ nghĩa xã hội,1,0.41723979825768
774,chủ ngữ,1,0.41746905089408526
775,chủ nhiệm,1,0.4176983035304906
776,chủ đề,1,0.4179275561668959
777,chủ động,1,0.41815680880330125
778,chức năng,1,0.4183860614397066
779,chức vụ,1,0.41861531407611186
780,chứng cớ,1,0.4188445667125172
781,chứng kiến,1,0.4190738193489225
782,chứng minh,1,0.41930307198532785
783,chứng nhận,1,0.4195323246217332
784,chữ,1,0.41976157725813845
785,chữ cái,1,0.4199908298945438
