dataset,frames,pose_missing,hand_missing,face_missing,pose_detection,face_detection,left_hand_missing_rate,right_hand_missing_rate,both_hand_missing_rate,hand_detection_rate,usable
ASL,60.0,0.008486366165831942,0.48302378964941567,0.047400261118958946,0.9915136338341681,0.952599738881041,0.3302295492487479,0.3302295492487479,0.3302295492487479,0.6697704507512521,0.21035058430717862
VSL,60.0,0.0013258444138774263,0.4536470273574813,0.6944949975899082,0.9986741555861225,0.3055050024100918,0.3354730246064496,0.3354730246064496,0.3354730246064496,0.6645269753935503,0.3133883539660706
